person_age,sex,education,married,person_income,person_home_ownership,has_car,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,itd,term,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,verification_status,loan_status
25,Male,Primary,0,137000,RENT,0,9.0,PERSONAL,E,34800,16.77,10.114194422870778,36 months,0.25,Y,2,1,0
22,Female,Post PHD,1,65000,RENT,1,4.0,EDUCATION,D,34000,17.58,4.877780334790832,36 months,0.52,N,4,0,1
24,Male,Secondary,1,10980,OWN,1,0.0,PERSONAL,A,1500,7.29,34.11315127225278,60 months,0.14,N,3,0,0
22,Male,Post PHD,0,80000,RENT,1,3.0,PERSONAL,D,33950,14.54,6.171834678150392,36 months,0.42,Y,4,0,1
24,Female,PHD,1,67746,RENT,1,8.0,HOMEIMPROVEMENT,C,33000,12.68,5.4656791557750015,36 months,0.49,N,3,0,1
21,Male,Master,1,11000,MORTGAGE,0,3.0,VENTURE,E,4575,17.74,6.126307757854901,36 months,0.42,Y,3,0,1
23,Female,PHD,1,11000,OWN,1,0.0,PERSONAL,A,1400,9.32,21.561862944958445,36 months,0.13,N,3,1,0
24,Female,Primary,1,65000,RENT,1,6.0,HOMEIMPROVEMENT,B,32500,9.99,5.455041367397037,36 months,0.5,N,3,1,1
21,Male,PHD,1,11389,OTHER,0,5.0,EDUCATION,C,4000,12.84,12.616315136476429,60 months,0.35,Y,2,0,1
21,Male,Master,1,11520,OWN,1,5.0,MEDICAL,B,2000,11.12,15.550755939524837,36 months,0.17,N,3,0,1
25,Male,Primary,0,120000,RENT,1,2.0,VENTURE,A,32000,6.62,17.585818795723124,60 months,0.27,N,2,1,0
26,Male,Post PHD,0,95000,RENT,1,7.0,HOMEIMPROVEMENT,C,31050,14.17,13.399235002412565,60 months,0.33,Y,3,0,1
25,Male,Secondary,0,306000,RENT,1,2.0,DEBTCONSOLIDATION,C,24250,13.85,33.250478790595324,36 months,0.08,N,3,1,0
26,Female,Master,1,300000,MORTGAGE,1,10.0,MEDICAL,C,7800,13.49,101.66941174078369,36 months,0.03,N,4,1,0
21,Female,Secondary,0,12000,OWN,1,5.0,EDUCATION,A,2500,7.51,13.394102874151239,36 months,0.21,N,4,0,1
22,Female,Post PHD,1,48000,RENT,0,1.0,EDUCATION,E,30000,18.39,4.054396486189711,36 months,0.63,N,2,0,1
24,Male,Post PHD,0,64000,RENT,1,8.0,DEBTCONSOLIDATION,D,30000,14.54,5.587567661952156,36 months,0.47,Y,3,0,1
25,Female,Master,0,75000,RENT,1,4.0,HOMEIMPROVEMENT,D,30000,16.89,6.416288818547352,36 months,0.4,Y,4,1,1
23,Female,Primary,1,71500,RENT,0,3.0,DEBTCONSOLIDATION,D,30000,,,36 months,0.42,N,4,1,1
26,Female,Post PHD,0,62050,RENT,0,6.0,MEDICAL,E,30000,17.99,5.258920247478598,36 months,0.41,N,2,1,1
24,Female,Primary,0,12000,OWN,1,4.0,VENTURE,B,2500,12.69,12.778418670689502,36 months,0.21,N,3,1,1
26,Male,Secondary,1,300000,MORTGAGE,1,10.0,VENTURE,A,20000,7.88,41.71301446051168,36 months,0.07,N,4,1,0
23,Female,Primary,1,300000,OWN,1,1.0,EDUCATION,F,24250,19.41,51.80108039786683,60 months,0.08,Y,2,0,0
26,Female,Secondary,1,300000,OWN,1,9.0,HOMEIMPROVEMENT,B,10000,10.38,135.8941837289364,60 months,0.03,N,4,1,0
26,Female,Primary,0,300000,MORTGAGE,1,0.0,EDUCATION,D,25000,15.33,31.214774993496924,36 months,0.08,N,3,1,0
25,Female,Post PHD,1,300000,MORTGAGE,0,9.0,HOMEIMPROVEMENT,E,18000,16.45,42.93688278231001,36 months,0.06,N,3,1,0
26,Male,PHD,1,80690,RENT,1,8.0,PERSONAL,A,30000,7.49,7.5067448134710215,36 months,0.37,N,3,0,1
22,Female,Master,0,66300,RENT,1,4.0,MEDICAL,B,30000,12.69,9.805661549383263,60 months,0.38,N,3,1,1
26,Male,PHD,0,89028,RENT,1,0.0,DEBTCONSOLIDATION,A,30000,6.62,8.350028137310073,36 months,0.34,N,3,1,1
24,Male,Others,0,78000,RENT,0,4.0,DEBTCONSOLIDATION,D,30000,,,36 months,0.38,Y,4,1,1
23,Female,Post PHD,1,78000,RENT,0,7.0,DEBTCONSOLIDATION,F,30000,18.62,10.95936604282583,60 months,0.38,Y,3,1,1
23,Male,Others,1,92004,RENT,1,6.0,PERSONAL,C,30000,15.23,7.984379067951053,36 months,0.33,Y,3,0,1
23,Female,Master,0,97000,RENT,1,7.0,VENTURE,B,30000,10.65,8.766380478987799,36 months,0.31,N,2,1,1
25,Female,Bachelor,0,120000,RENT,0,9.0,EDUCATION,A,30000,7.9,11.121408711770158,36 months,0.25,N,4,1,0
26,Female,PHD,1,280000,RENT,1,4.0,PERSONAL,C,10000,15.96,72.43877199034151,36 months,0.04,Y,3,0,0
26,Male,Primary,1,277104,RENT,0,0.0,VENTURE,B,20000,11.48,37.28525296017222,36 months,0.07,N,3,1,0
23,Female,Others,0,277000,OWN,1,3.0,PERSONAL,A,35000,,,36 months,0.13,N,4,1,0
25,Female,Post PHD,0,128000,RENT,1,9.0,PERSONAL,A,30000,7.29,19.883804020256623,60 months,0.23,N,4,1,0
24,Female,Bachelor,0,12000,OWN,1,2.0,VENTURE,E,1750,,,36 months,0.15,Y,3,1,0
21,Male,Others,1,131000,RENT,1,0.0,VENTURE,A,30000,5.99,20.599427618957762,60 months,0.23,N,4,0,0
22,Male,Post PHD,0,275000,OWN,1,6.0,VENTURE,B,12000,11.58,61.61498476429468,36 months,0.04,N,2,1,0
26,Male,PHD,0,263000,MORTGAGE,1,0.0,EDUCATION,B,10000,,,36 months,0.04,N,4,0,1
25,Male,PHD,1,221850,MORTGAGE,0,9.0,MEDICAL,D,25000,15.7,23.009507346586,36 months,0.1,N,2,1,1
22,Male,Others,1,70000,RENT,0,6.0,EDUCATION,D,29100,15.99,6.2216525953623805,36 months,0.42,N,3,1,1
22,Female,Others,0,12000,MORTGAGE,0,7.0,EDUCATION,D,1500,14.84,20.898641588296762,36 months,0.13,Y,3,1,0
26,Male,Post PHD,1,260000,OWN,1,10.0,HOMEIMPROVEMENT,B,28000,10.99,25.09878624843937,36 months,0.11,N,3,1,0
25,Female,Post PHD,0,259000,MORTGAGE,1,9.0,HOMEIMPROVEMENT,D,20000,14.42,56.58975703548331,60 months,0.08,Y,2,0,0
24,Female,Master,1,255000,MORTGAGE,1,9.0,EDUCATION,A,9600,6.99,124.13543321805773,60 months,0.04,N,2,1,0
25,Female,Bachelor,1,250000,RENT,1,2.0,MEDICAL,C,25000,13.49,26.43404705260375,36 months,0.1,N,4,1,0
25,Female,PHD,0,12000,OWN,1,0.0,MEDICAL,C,3000,,,36 months,0.25,N,3,1,1
22,Male,Primary,1,56950,RENT,0,6.0,MEDICAL,A,28000,,,36 months,0.49,N,2,0,1
21,Male,Post PHD,0,12000,OWN,1,6.0,EDUCATION,C,3000,13.61,10.562450488513333,36 months,0.25,Y,3,1,1
23,Male,Post PHD,1,65000,RENT,1,2.0,EDUCATION,A,28000,7.9,6.454388984509468,36 months,0.43,N,2,1,1
26,Female,Primary,1,85000,RENT,0,2.0,VENTURE,A,28000,7.49,14.120914902382946,60 months,0.33,N,3,1,1
26,Male,Secondary,0,12000,OWN,1,2.0,EDUCATION,A,6100,7.51,5.489386423832476,36 months,0.51,N,3,1,1
22,Female,Master,1,88000,RENT,0,6.0,VENTURE,B,28000,9.91,8.578447301038514,36 months,0.32,N,3,1,1
21,Male,Secondary,0,12000,OWN,1,0.0,PERSONAL,C,4200,13.48,12.58875069238129,60 months,0.35,Y,4,1,1
22,Female,Others,0,12000,OWN,1,6.0,DEBTCONSOLIDATION,A,4750,7.14,7.073872847135572,36 months,0.4,N,2,0,1
24,Male,Post PHD,1,83004,RENT,1,0.0,VENTURE,D,28000,15.99,7.667286588745335,36 months,0.34,Y,4,1,1
24,Female,Master,0,250000,RENT,1,2.0,EDUCATION,C,18000,12.98,36.879683719832414,36 months,0.07,Y,3,1,0
144,Male,Bachelor,0,250000,RENT,1,4.0,VENTURE,C,4800,13.57,137.5803469226028,36 months,0.02,N,3,0,0
25,Female,Post PHD,0,100000,RENT,1,5.0,DEBTCONSOLIDATION,B,28000,12.69,9.507751987120166,36 months,0.28,N,3,1,0
26,Female,Bachelor,0,110000,RENT,1,10.0,EDUCATION,A,28000,8.9,10.822510822510822,36 months,0.25,N,2,1,0
26,Female,Secondary,0,12000,OWN,1,0.0,DEBTCONSOLIDATION,A,2700,,,36 months,0.23,N,4,1,1
22,Female,Bachelor,0,108000,RENT,0,6.0,EDUCATION,B,28000,,,36 months,0.26,N,4,1,1
23,Male,Master,1,151200,RENT,1,7.0,DEBTCONSOLIDATION,B,28000,11.11,14.580145801458016,36 months,0.19,N,2,0,0
24,Male,Post PHD,0,69000,RENT,0,2.0,HOMEIMPROVEMENT,A,27600,,,60 months,0.4,N,2,1,1
21,Male,Bachelor,1,12000,MORTGAGE,0,5.0,DEBTCONSOLIDATION,E,3250,15.68,9.57548675390999,36 months,0.27,Y,3,1,1
22,Female,Others,1,70000,RENT,1,4.0,EDUCATION,C,27500,13.06,6.754257594519402,36 months,0.39,Y,3,0,1
22,Male,Post PHD,1,240000,OWN,1,6.0,PERSONAL,B,25000,,,60 months,0.1,N,2,1,0
26,Female,PHD,0,73200,RENT,1,5.0,VENTURE,D,27050,15.62,7.0215355868114075,36 months,0.37,Y,2,1,1
24,Female,Others,0,83000,RENT,0,5.0,PERSONAL,C,27000,13.49,8.12602187172634,36 months,0.33,Y,2,1,1
24,Male,Master,1,73399,RENT,1,0.0,VENTURE,D,27000,,,60 months,0.37,N,3,1,1
23,Male,Secondary,0,62500,RENT,1,7.0,MEDICAL,B,26000,11.71,10.759314984541016,60 months,0.42,N,2,1,1
23,Female,Secondary,1,120000,RENT,0,1.0,EDUCATION,B,25600,12.69,12.478924483095215,36 months,0.21,N,3,1,0
24,Female,Bachelor,0,12360,OWN,1,2.0,MEDICAL,C,1600,13.57,34.00986175926741,60 months,0.13,N,3,0,0
22,Male,Primary,0,60000,RENT,1,0.0,VENTURE,B,25475,10.99,6.366114727467071,36 months,0.42,N,3,1,1
25,Female,Secondary,1,234000,MORTGAGE,1,3.0,MEDICAL,C,20000,14.27,30.716723549488048,36 months,0.09,Y,4,1,0
24,Female,Others,1,234000,OWN,1,8.0,HOMEIMPROVEMENT,B,20000,8.88,32.23732549595885,36 months,0.09,N,4,1,0
26,Female,PHD,1,234000,MORTGAGE,0,10.0,HOMEIMPROVEMENT,B,21600,12.18,28.971296131217684,36 months,0.09,N,3,1,0
25,Female,Secondary,1,221004,MORTGAGE,1,6.0,DEBTCONSOLIDATION,D,11900,14.42,48.69366729387088,36 months,0.05,Y,3,0,1
26,Female,Secondary,0,232500,MORTGAGE,1,0.0,MEDICAL,C,25000,14.17,40.72873784707016,60 months,0.11,Y,2,0,0
25,Female,Secondary,0,230000,MORTGAGE,1,5.0,MEDICAL,C,35000,13.99,28.82458361009111,60 months,0.15,N,4,1,0
23,Male,Others,1,83000,RENT,0,7.0,EDUCATION,B,25300,10.99,8.86737294639299,36 months,0.3,N,3,0,1
22,Male,Post PHD,1,12600,MORTGAGE,0,,PERSONAL,A,2000,5.42,17.92828685258964,36 months,0.16,N,4,1,1
25,Male,Others,0,12600,OWN,1,3.0,PERSONAL,C,1750,13.61,19.012410879324005,36 months,0.14,N,3,1,0
21,Female,PHD,0,42500,RENT,1,3.0,EDUCATION,C,25000,12.73,4.524084094739643,36 months,0.59,Y,3,1,1
24,Female,Master,1,41000,RENT,0,2.0,HOMEIMPROVEMENT,D,25000,,,36 months,0.61,N,3,1,1
25,Female,Post PHD,1,12816,OWN,1,0.0,DEBTCONSOLIDATION,C,3000,12.87,11.354655798706474,36 months,0.23,Y,4,0,1
24,Male,Secondary,1,12960,MORTGAGE,0,1.0,HOMEIMPROVEMENT,B,3650,9.91,9.691615680575515,36 months,0.28,N,3,1,1
26,Male,Others,1,226000,MORTGAGE,1,4.0,HOMEIMPROVEMENT,B,20000,11.49,30.406314467665254,36 months,0.09,N,4,1,0
25,Male,Master,1,225000,MORTGAGE,1,0.0,HOMEIMPROVEMENT,E,30000,19.91,18.764073054791094,36 months,0.13,Y,2,1,0
26,Male,Post PHD,0,213000,MORTGAGE,0,6.0,EDUCATION,B,35000,10.65,27.49983861597056,60 months,0.16,N,2,0,1
24,Female,Others,0,225000,RENT,0,0.0,MEDICAL,B,6000,,,36 months,0.03,N,4,1,0
24,Female,Secondary,0,12960,MORTGAGE,0,0.0,DEBTCONSOLIDATION,B,4500,11.83,7.726012697844943,36 months,0.35,N,4,0,1
23,Male,Master,1,12996,OWN,1,0.0,DEBTCONSOLIDATION,C,2400,13.49,14.31403647898493,36 months,0.18,Y,2,0,1
22,Female,PHD,0,42000,RENT,0,6.0,MEDICAL,D,25000,14.59,7.330482590103848,60 months,0.6,Y,2,1,1
26,Male,Secondary,0,48000,RENT,0,2.0,EDUCATION,B,25000,9.64,5.253557095950383,36 months,0.52,N,4,1,1
25,Male,Others,0,12996,OWN,1,1.0,MEDICAL,D,3600,14.59,9.451086482241037,36 months,0.28,N,3,1,1
22,Female,Master,0,12996,OWN,1,1.0,EDUCATION,B,4750,,,36 months,0.37,N,3,0,1
25,Male,Others,1,42360,RENT,1,1.0,EDUCATION,E,25000,16.35,7.281478298238075,60 months,0.59,Y,3,1,1
21,Female,Post PHD,0,49000,RENT,0,4.0,EDUCATION,B,25000,10.99,5.297774574285971,36 months,0.51,N,2,1,1
25,Male,Bachelor,1,225000,MORTGAGE,1,0.0,VENTURE,F,25000,18.67,22.75216988286846,36 months,0.11,N,2,0,0
26,Male,Post PHD,1,225000,RENT,1,1.0,EDUCATION,A,3000,9.32,343.02963776070254,60 months,0.01,N,4,0,0
23,Female,Primary,0,225000,RENT,1,8.0,DEBTCONSOLIDATION,A,7500,8.63,82.8500414250207,36 months,0.03,N,2,1,0
26,Female,PHD,1,225000,MORTGAGE,0,2.0,VENTURE,B,25000,10.08,24.527616279069772,36 months,0.11,N,2,0,0
22,Male,Primary,0,49464,RENT,1,5.0,PERSONAL,B,25000,11.83,5.307770723419477,36 months,0.51,N,3,1,1
23,Male,Others,0,50000,RENT,1,1.0,DEBTCONSOLIDATION,A,25000,7.9,5.560704355885079,36 months,0.5,N,3,1,1
25,Female,Master,0,50000,RENT,0,4.0,HOMEIMPROVEMENT,A,25000,5.99,5.660911406736485,36 months,0.5,N,2,0,1
24,Female,Master,0,44000,RENT,0,2.0,DEBTCONSOLIDATION,D,25000,15.33,4.578166999046215,36 months,0.57,N,2,0,1
23,Male,Primary,0,50000,RENT,1,1.0,VENTURE,B,25000,11.83,5.365286595725657,36 months,0.5,N,4,0,1
22,Male,Master,1,50004,RENT,0,0.0,VENTURE,B,25000,10.36,5.4371873867343234,36 months,0.5,N,2,1,1
22,Female,Post PHD,1,50004,RENT,1,3.0,VENTURE,C,25000,12.23,8.910986367281476,60 months,0.5,N,3,0,1
22,Male,Others,1,52000,RENT,1,2.0,EDUCATION,B,25000,11.11,5.616056160561605,36 months,0.48,N,4,1,1
23,Male,Post PHD,1,13200,OWN,1,3.0,DEBTCONSOLIDATION,A,4950,7.9,7.414272474513438,36 months,0.38,N,4,1,1
24,Male,Primary,0,220000,MORTGAGE,0,1.0,EDUCATION,B,25000,11.58,23.66015414948916,36 months,0.11,N,2,1,0
23,Female,Others,1,216000,MORTGAGE,0,5.0,DEBTCONSOLIDATION,A,21000,8.9,47.22550177095631,60 months,0.1,N,3,1,0
25,Male,Primary,1,216000,MORTGAGE,0,2.0,EDUCATION,D,25000,16.07,22.331351770483327,36 months,0.12,N,3,0,0
26,Female,Bachelor,1,216000,MORTGAGE,1,10.0,EDUCATION,C,20000,14.22,28.36631062861145,36 months,0.09,Y,2,1,0
23,Male,Secondary,0,215000,MORTGAGE,0,7.0,MEDICAL,C,35000,14.79,26.75693502420569,60 months,0.16,Y,3,0,0
26,Male,Master,1,215000,MORTGAGE,0,11.0,EDUCATION,A,12000,7.88,83.03979730564825,60 months,0.06,N,2,1,0
23,Female,Others,1,52000,RENT,1,1.0,PERSONAL,C,25000,13.22,5.511393746687864,36 months,0.48,N,2,1,1
26,Male,Secondary,0,46000,RENT,1,2.0,DEBTCONSOLIDATION,D,25000,11.86,4.934739853388164,36 months,0.54,N,4,0,1
22,Female,PHD,0,53000,RENT,1,5.0,EDUCATION,C,25000,13.43,5.606982279820154,36 months,0.47,Y,4,1,1
26,Male,Post PHD,0,47000,RENT,1,0.0,HOMEIMPROVEMENT,D,25000,15.28,4.892435808466343,36 months,0.53,Y,2,1,1
23,Female,Others,0,47000,RENT,1,1.0,VENTURE,E,25000,17.93,4.782498092088527,36 months,0.53,N,2,1,1
23,Male,Post PHD,0,13200,MORTGAGE,0,2.0,EDUCATION,B,1400,9.25,43.15135665250081,60 months,0.11,N,4,1,0
21,Female,Secondary,0,13200,OWN,1,0.0,VENTURE,C,4500,12.98,12.981648669381011,60 months,0.34,N,4,0,1
22,Male,Master,0,210000,MORTGAGE,1,6.0,VENTURE,B,16000,10.62,35.5948291448201,36 months,0.08,N,4,1,0
26,Male,PHD,1,210000,OWN,1,10.0,PERSONAL,B,22000,11.83,42.67841610236317,60 months,0.1,N,4,0,0
26,Male,PHD,0,48000,RENT,0,5.0,VENTURE,F,25000,18.43,8.106054209237525,60 months,0.52,N,2,1,1
22,Male,Bachelor,0,54996,RENT,1,6.0,EDUCATION,B,25000,,,36 months,0.45,N,4,0,1
24,Female,Master,0,55000,RENT,0,4.0,HOMEIMPROVEMENT,D,25000,,,60 months,0.45,Y,4,0,1
23,Female,Secondary,1,55000,RENT,1,4.0,EDUCATION,B,25000,11.36,5.926724137931035,36 months,0.45,N,3,1,1
23,Male,Others,1,55000,RENT,0,4.0,EDUCATION,D,25000,15.65,9.511456982274103,60 months,0.45,Y,3,1,1
24,Female,Master,1,55164,RENT,0,8.0,PERSONAL,C,25000,13.22,5.846740858505564,36 months,0.45,Y,4,1,1
26,Female,Post PHD,1,56000,RENT,1,4.0,DEBTCONSOLIDATION,C,25000,12.87,5.953752104190662,36 months,0.45,N,2,1,1
24,Female,Master,1,203500,OWN,1,8.0,MEDICAL,C,20000,13.04,27.003715498938426,36 months,0.1,N,3,0,0
23,Male,Others,0,190000,MORTGAGE,0,5.0,EDUCATION,F,22000,17.58,22.035287386537604,36 months,0.12,Y,3,1,1
23,Male,Others,1,13920,OWN,1,2.0,PERSONAL,E,7750,17.04,4.603885079267083,36 months,0.56,N,4,1,1
24,Female,Master,0,60000,RENT,1,0.0,PERSONAL,B,25000,10.99,6.4870709072889445,36 months,0.42,N,3,0,1
24,Female,Bachelor,1,60000,RENT,1,2.0,PERSONAL,B,25000,11.11,6.480064800648007,36 months,0.42,N,3,0,1
26,Male,Primary,0,54000,RENT,1,7.0,DEBTCONSOLIDATION,D,25000,14.83,9.405207698336671,60 months,0.46,Y,2,1,1
23,Male,PHD,1,14000,OWN,1,2.0,DEBTCONSOLIDATION,D,4000,,,36 months,0.29,N,3,1,1
24,Male,Post PHD,1,200000,RENT,1,8.0,MEDICAL,B,12000,12.69,44.369509273227436,36 months,0.06,N,2,1,0
24,Male,Master,1,200000,MORTGAGE,0,8.0,HOMEIMPROVEMENT,C,12000,13.49,44.05674508767293,36 months,0.06,N,2,0,0
21,Female,Post PHD,1,200000,MORTGAGE,1,5.0,EDUCATION,C,16000,14.65,32.708242477104235,36 months,0.08,N,4,1,0
25,Male,Master,0,54000,RENT,0,3.0,HOMEIMPROVEMENT,E,25000,16.82,5.546995377503852,36 months,0.46,N,4,1,1
23,Male,Others,1,60000,RENT,1,3.0,PERSONAL,C,25000,12.73,6.386942251397143,36 months,0.42,N,3,1,1
23,Female,Master,0,60000,RENT,0,7.0,PERSONAL,B,25000,10.25,6.530612244897959,36 months,0.42,N,4,1,1
21,Male,Post PHD,1,60000,RENT,1,6.0,EDUCATION,B,25000,10.99,6.4870709072889445,36 months,0.42,N,4,1,1
25,Female,Others,0,61959,RENT,0,9.0,MEDICAL,C,25000,12.73,10.992459859842102,60 months,0.4,N,2,1,1
22,Male,Secondary,1,56400,RENT,0,2.0,HOMEIMPROVEMENT,D,25000,14.96,5.887265135699374,36 months,0.44,Y,3,1,1
23,Female,PHD,0,200000,MORTGAGE,0,7.0,EDUCATION,A,28000,,,60 months,0.14,N,2,0,0
21,Male,Others,0,200000,MORTGAGE,1,2.0,DEBTCONSOLIDATION,C,25000,13.99,21.054478463023074,36 months,0.13,N,2,1,0
24,Male,PHD,0,200000,MORTGAGE,0,3.0,VENTURE,A,24000,7.49,23.2579774862778,36 months,0.12,N,4,0,0
26,Female,Bachelor,0,200000,MORTGAGE,1,4.0,EDUCATION,C,15000,14.79,58.07706826959375,60 months,0.07,N,3,1,0
25,Male,PHD,0,200000,MORTGAGE,0,2.0,DEBTCONSOLIDATION,B,15500,11.99,57.60883028150555,60 months,0.08,N,2,0,0
24,Female,Bachelor,1,200000,RENT,1,8.0,EDUCATION,A,10000,8.49,55.30463637201586,36 months,0.05,N,4,0,0
24,Female,Bachelor,1,66000,RENT,1,3.0,EDUCATION,B,25000,9.91,7.205895732872349,36 months,0.38,N,2,1,1
22,Male,Primary,1,66000,RENT,1,6.0,EDUCATION,C,25000,13.06,7.005130019458695,36 months,0.38,Y,3,1,1
22,Female,PHD,0,200000,MORTGAGE,1,6.0,DEBTCONSOLIDATION,A,9000,6.17,62.79237700543155,36 months,0.04,N,4,1,0
144,Male,PHD,0,200000,MORTGAGE,0,4.0,EDUCATION,B,6000,11.86,148.99576852017404,60 months,0.03,N,2,1,0
25,Male,Post PHD,0,200000,RENT,1,5.0,EDUCATION,D,18000,16.32,28.65657955066484,36 months,0.09,N,3,0,0
25,Female,Others,0,200000,MORTGAGE,1,2.0,VENTURE,B,12000,10.38,45.29806124297879,36 months,0.06,N,2,0,0
25,Male,Bachelor,1,200000,MORTGAGE,0,9.0,PERSONAL,C,23050,14.35,22.76376804858547,36 months,0.12,N,3,1,0
24,Male,Others,0,200000,MORTGAGE,0,8.0,DEBTCONSOLIDATION,B,20000,,,36 months,0.1,N,3,1,0
24,Male,Secondary,1,60000,RENT,0,2.0,DEBTCONSOLIDATION,E,25000,,,36 months,0.42,Y,2,0,1
21,Male,Others,1,14400,OWN,1,0.0,HOMEIMPROVEMENT,B,3000,,,36 months,0.21,N,4,1,1
26,Male,Others,0,66996,RENT,0,10.0,PERSONAL,D,25000,15.21,6.978144258310912,36 months,0.37,Y,2,0,1
23,Male,PHD,1,67000,RENT,1,3.0,EDUCATION,A,25000,7.9,7.451343836886005,36 months,0.37,N,4,0,1
24,Female,Others,1,67000,RENT,0,2.0,VENTURE,B,25000,10.99,7.243895846472656,36 months,0.37,N,3,1,1
24,Male,Post PHD,1,68000,RENT,0,5.0,PERSONAL,D,25000,14.09,7.15224822508546,36 months,0.37,Y,3,1,1
25,Male,PHD,0,69000,RENT,1,9.0,PERSONAL,D,25000,17.49,11.745680483445401,60 months,0.36,N,2,0,1
25,Female,PHD,1,200000,MORTGAGE,1,0.0,EDUCATION,B,12000,11.48,44.85109436670255,36 months,0.06,N,3,1,0
26,Male,PHD,1,188000,MORTGAGE,0,10.0,VENTURE,E,20000,17.74,23.951078647868187,36 months,0.11,N,2,1,1
26,Female,Others,1,200000,MORTGAGE,1,4.0,PERSONAL,C,3000,13.92,175.56179775280899,36 months,0.01,N,3,1,0
25,Female,Primary,0,69996,RENT,1,9.0,EDUCATION,D,25000,15.21,12.15102855654891,60 months,0.36,N,3,1,1
22,Female,Secondary,1,14400,OWN,1,2.0,MEDICAL,B,4000,10.99,9.730606360933416,36 months,0.28,N,3,1,1
24,Female,Bachelor,0,70000,RENT,0,3.0,EDUCATION,B,25000,11.86,7.509386733416772,36 months,0.36,N,4,0,1
24,Male,Others,0,14400,OWN,1,5.0,PERSONAL,A,6000,7.49,6.6982975160480045,36 months,0.42,N,3,1,1
24,Female,Others,0,56100,RENT,1,7.0,MEDICAL,D,25000,16.49,5.779036827195468,36 months,0.38,N,4,0,1
25,Female,Post PHD,0,66000,RENT,0,9.0,VENTURE,D,25000,15.33,6.867250498569323,36 months,0.38,Y,2,0,1
26,Female,Secondary,1,66000,RENT,1,3.0,HOMEIMPROVEMENT,B,25000,11.58,7.0980462448467465,36 months,0.38,N,4,1,1
25,Male,PHD,0,14400,OWN,1,7.0,EDUCATION,A,5375,5.79,7.597324229440951,36 months,0.37,N,2,1,1
25,Female,Bachelor,1,72612,RENT,0,9.0,MEDICAL,C,25000,13.11,7.703509857660683,36 months,0.34,N,2,0,1
23,Female,Master,0,74000,RENT,1,3.0,MEDICAL,B,25000,10.36,8.04639362087713,36 months,0.34,N,3,1,1
